codigo_linea,numero_rfig,nombre,n_estaciones,n_municipios,municipios,provincias
01000,000,LÍNEAS Y TRAMOS AJENOS AL CUADRO DE VELOCIDADES MÁXIMAS,113,52,Palos de la Frontera > Huelva > Cádiz > Algeciras > San Roque > Sevilla > La Rinconada > Alcalá de Guadaíra > Badajoz > Málaga > Vigo > Pontevedra > A Coruña > Puertollano > Ferrol > Almería > Ponferrada > Águilas > Valladolid > Madrid > Santovenia de Pisuerga > Alcalá de Henares > Torrejón de Ardoz > Oviedo > Siero > Venta de Baños > Villamuriel de Cerrato > Gijón > Cartagena > Carreño > Alguazas > Molina de Segura > Burgos > Alacant > Camargo > Santander > València > Gilet > Sagunt > Santurtzi > Pedrola > Grisén > Andorra > Zaragoza > Samper de Calanda > Zuera > Gurrea de Gállego > Lleida > Balaguer > La Pobla de Segur > L'Hospitalet de Llobregat > Barcelona,Huelva · Cádiz · Sevilla · Badajoz · Málaga · Pontevedra · A Coruña · Ciudad Real · Almería · León · Murcia · Valladolid · Madrid · Asturias · Palencia · Burgos · Alacant · Cantabria · València · Bizkaia · Zaragoza · Teruel · Huesca · Lleida · Barcelona
01100,100,MADRID-CHAMARTIN-HENDAYA,52,38,Ávila > Herradón de Pinares > Santa María de la Alameda > El Escorial > Las Rozas de Madrid > Collado Villalba > Arévalo > Madrid > Palacios de Goda > Medina del Campo > Valdestillas > Valladolid > Santovenia de Pisuerga > Corcos > Cubillas de Santa Marta > Venta de Baños > Magaz de Pisuerga > Villodrigo > Villalbilla de Burgos > Burgos > Rubena > Briviesca > Pancorbo > Bugedo > Miranda de Ebro > Vitoria-Gasteiz > Agurain > Asparrena > Olazti > Zegama > Altsasu > Legazpi > Zumarraga > Tolosa > Hernani > Donostia > Lezo > Irun,Ávila · Madrid · Valladolid · Palencia · Burgos · Araba · Navarra · Gipuzkoa
01102,102,MADRID-CHAMARTIN-BIF. ARANDA,15,11,Madrid > Tres Cantos > Colmenar Viejo > Soto del Real > Bustarviejo > Robregordo > Comunidad de Sepúlveda y Riaza > Maderuelo > Aranda de Duero > Lerma > Villalbilla de Burgos,Madrid · Segovia · Burgos
01104,104,ALCOB.- S.S.REYE-UNIV.CANTOBLANCO,2,2,Madrid > Alcobendas,Madrid
01106,106,IRUN-HENDAYA,4,1,Irun,Gipuzkoa
01108,108,LA CARRERA-VALLADOLID-C.G.,4,1,Valladolid,Valladolid
01110,110,VILLALBA GUADARR-SEGOVIA,4,4,Collado Villalba > Guadarrama > Cercedilla > Segovia,Madrid · Segovia
01112,112,VALLADOLID ARGALES-BIF. HENDAYA,3,1,Valladolid,Valladolid
01116,116,CERCEDILLA-LOS COTOS,3,3,Cercedilla > Los Baldios > Real Sitio de San Ildefonso,Madrid · Segovia
01118,118,"IRUN-P. K. 641,181 (FRONTERA)",2,1,Irun,Gipuzkoa
01120,120,MEDINA DEL CAMPO-VILAR  FORMOSO,13,8,Fuentes de Oñoro > Ciudad Rodrigo > La Fuente de San Esteban > Salamanca > Carbajosa de la Sagrada > Cantalapiedra > Fresno el Viejo > Medina del Campo,Salamanca · Valladolid
01122,122,AVILA-SALAMANCA,4,4,Salamanca > Peñaranda de Bracamonte > San Pedro del Arroyo > Ávila,Salamanca · Ávila
01124,124,SALAMANCA-VALDUNCIEL,2,2,Salamanca > Valdunciel,Salamanca
01126,126,ARANDA DUERO-MON-ARANDA DUERO-CHE,2,1,Aranda de Duero,Burgos
01128,128,"BURGOS AG. KM. 374,2 - CAMB. BURGOS",2,1,Burgos,Burgos
01156,156,CAMBIADOR VILLAMURIEL - BIF. VILLAMURIEL DE CERRATO,2,1,Villamuriel de Cerrato,Palencia
01164,164,BIF. MAGAZ-MAGAZ,3,3,Palencia > Villamuriel de Cerrato > Magaz de Pisuerga,Palencia
01166,166,BIF. RUBENA-VILLAFRIA,2,2,Rubena > Burgos,Burgos
01168,168,"BIF RUBENA AG KM 377,3-VILLAFRIA",2,1,Burgos,Burgos
01172,172,MADRID-CHAMARTÍN-CAMBIADOR MADRID-CHAMARTÍN,2,1,Madrid,Madrid
01174,174,CAMBIADOR MEDINA DEL CAMPO-MEDINA DEL CAMPO,2,1,Medina del Campo,Valladolid
01176,176,CAMBIADOR VALDESTILLAS-VALDESTILLAS,2,1,Valdestillas,Valladolid
01178,178,"CAMBIADOR VALLADOLID C.-GRANDE-VALLADOLID-AG. KM 250,2",2,1,Valladolid,Valladolid
01188,188,CAMB. MEDINA DEL CAMPO AV - BIF. ARROYO DE LA GOLOSA,2,1,Medina del Campo,Valladolid
01192,192,"RIO PISUERGA-C.FERR.AG.KM.3,7",3,2,Valladolid > Santovenia de Pisuerga,Valladolid
01700,700,INT. ABANDO IND. PRIETO-CASETAS,19,15,Zaragoza > Cabañas de Ebro > Cortes > Tudela > Castejón > Calahorra > Alcanadre > Logroño > Haro > Miranda de Ebro > Amurrio > Urduña > Laudio > Arrigorriaga > Bilbao,Zaragoza · Navarra · La Rioja · Burgos · Araba · Bizkaia
01704,704,BIF. RIOJA-BIF. CASTILLA,2,1,Miranda de Ebro,Burgos
01710,710,ALTSASU-CASTEJON DE EBRO,8,7,Castejón > Tafalla > Garínoain > Noáin (Valle de Elorz) > Pamplona > Etxarri Aranatz > Altsasu,Navarra
01712,712,"BIF. KM.534,0-BIF. KM.231,5",2,2,Altsasu > Olazti,Navarra
01720,720,INT. ABANDO IND. PRIETO-SANTURTZI,8,3,Bilbao > Barakaldo > Santurtzi,Bizkaia
01722,722,DESERTU-BARAKALD-MUSKIZ,2,2,Barakaldo > Muskiz,Bizkaia
01724,724,BILBAO MERCANCIAS-SANTURTZI,2,1,Santurtzi,Bizkaia
01726,726,AGUJA ENLACE-BIF. LA CASILLA,3,1,Bilbao,Bizkaia
01904,904,"FUENCARRAL-AGUJA KM 4,5 - BIF. FUENCARRAL",3,1,Madrid,Madrid
01910,910,MADRID ATOCHA CERCANIAS-PINAR DE LAS ROZAS,10,3,Madrid > Pozuelo de Alarcón > Las Rozas de Madrid,Madrid
01912,912,PINAR DE LAS ROZAS-LAS MATAS,3,1,Las Rozas de Madrid,Madrid
01914,914,BIF. CHAMARTIN-BIF. P. PIO,3,1,Las Rozas de Madrid,Madrid
01924,924,BIF. CHAMARTIN - BIF. P. PIO,2,1,Las Rozas de Madrid,Madrid
01999,999,LINEA FUERA DE SERVICIO EJE 1,184,150,Ayamonte > Gibraleón > Puerto Real > El Puerto de Santa María > Sanlúcar de Barrameda > Jerez de la Frontera > Arcos de la Frontera > Villanueva del Fresno > Sevilla > Utrera > Jerez de los Caballeros > Alcalá de Guadaíra > Arahal > Morón de la Frontera > Olvera > Carmona > Marchena > Zafra > Almargen > Málaga > Antequera > Fuente de Piedra > La Carlota > Puente Genil > Cáceres > Casar de Cáceres > Córdoba > Villanueva de la Serena > Rena > Alcaudete > Logrosán > Plasencia > Marmolejo > La Fregeneda > Jaén > Andújar > Alía > Santiago de Compostela > Espeluy > Guadix > Puerto de Béjar > La Fuente de San Esteban > La Calahorra > Oroso > Ordes > Cerceda > Linares > Puertollano > Calera y Chozas > Baza > Ciudad Real > Serón > Carbajosa de la Sagrada > Valdunciel > El Cubo de Tierra del Vino > Los Yébenes > Toral de los Vados > Zamora > Villafranca del Bierzo > Ponferrada > Toledo > Huércal-Overa > Bargas > Alcázar de San Juan > Lorca > Bienservida > Aranjuez > Tomelloso > Pobladura del Valle > La Bañeza > Astorga > Medina del Campo > Villacañas > Yeles > Caravaca de la Cruz > Leganés > Madrid > Las Rozas de Madrid > Totana > Socuéllamos > Mazarrón > Segovia > Fuente Álamo de Murcia > Valladolid > Santa Cruz de la Zarza > Arganda del Rey > Torrejón de Ardoz > Cartagena > Tarancón > Molina de Segura > Murcia > Albacete > Chinchilla de Monte-Aragón > Peñafiel > Torrevieja > San Isidro > Venta del Moro > Langa de Duero > Agost > Barruelo de Santullán > Pomar de Valdivia > Burgos > Utiel > Sigüenza > Alcoi > Almazán > Coscurita > Merindad de Valdeporres > Monteagudo de las Vicarías > Riba-roja de Túria > Soria > Vega de Pas > Ariza > Llíria > Santa Eulalia > Teruel > El Astillero > València > Caminreal > Puçol > Torrelapaja > Calatayud > Villanueva de Jiloca > Cervera del Río Alhama > Bilbao > Tarazona > Cintruénigo > Tulebras > Tudela > Castejón > La Puebla de Híjar > Alcañiz > Zuera > Gurrea de Gállego > Cretas > Tardienta > Ayerbe > Tortosa > Huesca > Mequinenza > Massalcoreig > Monzón > Canfranc > Aisa > Barbastro > Lleida > Granollers > Les Franqueses del Vallès > Ripoll > Sant Joan de les Abadesses,Huelva · Cádiz · Badajoz · Sevilla · Málaga · Córdoba · Cáceres · Jaén · Salamanca · A Coruña · Granada · Ciudad Real · Toledo · Almería · Zamora · León · Murcia · Albacete · Madrid · Valladolid · Segovia · Cuenca · Alacant · València · Soria · Palencia · Burgos · Guadalajara · Cantabria · Zaragoza · Teruel · La Rioja · Bizkaia · Navarra · Huesca · Tarragona · Lleida · Barcelona · Girona
02200,200,MADRID-CHAMARTIN-BARNA-EST. DE FRANÇA,62,39,Madrid > Coslada > Torrejón de Ardoz > Alcalá de Henares > Meco > Azuqueca de Henares > Guadalajara > Baides > Sigüenza > Medinaceli > Arcos de Jalón > Santa María de Huerta > Ariza > Calatayud > Morata de Jalón > Ricla > Plasencia de Jalón > Grisén > Zaragoza > Zuera > Almudévar > Tardienta > Sariñena > Monzón > Binéfar > Almacelles > Lleida > Puigverd de Lleida > Vinaixa > Valls > Roda de Berà > El Vendrell > Cunit > Vilanova i la Geltrú > Sitges > Castelldefels > El Prat de Llobregat > Barcelona > L'Hospitalet de Llobregat,Madrid · Guadalajara · Soria · Zaragoza · Huesca · Lleida · Tarragona · Barcelona
02202,202,TORRALBA-CASTEJON DE EBRO,5,5,Medinaceli > Coscurita > Soria > Cervera del Río Alhama > Castejón,Soria · La Rioja · Navarra
02204,204,BIF. CANFRANC-CANFRANC,6,6,Monflorite-Lascasas > Huesca > Ayerbe > Las Peñas de Riglos > Jaca > Canfranc,Huesca
02206,206,LLEIDA-PIRINEUS-POBLA SEGUR,6,3,Lleida > Balaguer > La Pobla de Segur,Lleida
02208,208,S.JUAN MOZARRIFA-S. GREGORIO,2,1,Zaragoza,Zaragoza
02210,210,MIRAFLORES-TARRAGONA,17,12,Zaragoza > La Zaida > La Puebla de Híjar > Samper de Calanda > Caspe > La Pobla de Massaluca > Flix > Móra la Nova > Reus > Vila-seca > Tarragona > El Vendrell,Zaragoza · Teruel · Tarragona
02212,212,"HOYA DE HUESCA-AG. KM. 2,3-BIF. HOYA HUESCA",2,1,Huesca,Huesca
02214,214,CIM ZARAGOZA-LA CARTUJA,7,1,Zaragoza,Zaragoza
02216,216,"BIF. PLAZA-AG. KM. 1,4-BIF. PLAZA-AG. KM. 8,7",4,1,Zaragoza,Zaragoza
02218,218,BIF. PLAZA-ZARAGOZA-PLAZA,3,1,Zaragoza,Zaragoza
02220,220,LLEIDA-PIRINEUS-L HOSPITALET DE LLOBREGAT,13,10,Lleida > Cervera > Sant Guim de Freixenet > Manresa > Sant Vicenç de Castellet > Terrassa > L'Hospitalet de Llobregat > Cerdanyola del Vallès > Barcelona > Montcada i Reixac,Lleida · Barcelona
02222,222,MONTCADA-BIFURCA-LA TOUR DE CAROL,13,12,Barcelona > Montcada i Reixac > Granollers > Les Franqueses del Vallès > La Garriga > Vic > Montesquiu > Ripoll > Ribes de Freser > Planoles > Puigcerdà > Guils de Cerdanya,Barcelona · Girona
02224,224,CERDANYOLA UNIV.-CERDANYOLA VALLE,2,1,Cerdanyola del Vallès,Barcelona
02230,230,PLANA-PICAMOIXON-REUS,2,2,Reus > Valls,Tarragona
02234,234,REUS-RODA DE BARA,3,3,Reus > Constantí > Roda de Berà,Tarragona
02238,238,CASTELLBISBAL-AGUJAS LLOBREGAT -BARCELONA-MORROT,6,5,Castellbisbal > El Papiol > Pallejà > L'Hospitalet de Llobregat > Barcelona,Barcelona
02240,240,S.VICENÇ CALDERS-L HOSPITALET DE LLOBREGAT,16,10,El Vendrell > L'Arboç > Vilafranca del Penedès > Sant Sadurní d'Anoia > Sant Esteve Sesrovires > Martorell > Castellbisbal > El Papiol > Molins de Rei > L'Hospitalet de Llobregat,Tarragona · Barcelona
02242,242,MARTORELL-SEAT-AGUJA KM. 71.185,3,2,Martorell > Sant Esteve Sesrovires,Barcelona
02244,244,AGUJA KM. 0.500-AGUJA KM. 70.477,2,1,Sant Esteve Sesrovires,Barcelona
02246,246,CASTELLBISBAL AGUJAS RUBI-MOLLET-SANT FOST,10,5,Mollet del Vallès > Santa Perpètua de Mogoda > Cerdanyola del Vallès > Rubí > Castellbisbal,Barcelona
02248,248,BIF. RUBI-BIF. PAPIOL,4,1,Castellbisbal,Barcelona
02250,250,"L HOSPITALET DE LLOBREGAT-BELLVITGE-AG. KM. 674,8",2,1,L'Hospitalet de Llobregat,Barcelona
02254,254,EL PRAT DE LLOBREGAT-AEROPORT,2,1,El Prat de Llobregat,Barcelona
02260,260,VILAMALLA - FIGUERES VILAFANT,6,3,Vilafant > Vilamalla > Barcelona,Girona · Barcelona
02262,262,BIF CLOT-BARNA-SAGRERA,5,1,Barcelona,Barcelona
02264,264,MONTCADA-BIFURCA-BIF. AIGÜES,2,2,Barcelona > Montcada i Reixac,Barcelona
02266,266,BIF.VILANOVA-BIF.GLORIAS,2,1,Barcelona,Barcelona
02268,268,BIF. SAGRERA-BIF. ARAGO,5,1,Barcelona,Barcelona
02270,270,BIF. SAGRERA-CERBERE,25,15,Barcelona > Montcada i Reixac > La Llagosta > Mollet del Vallès > Montmeló > Montornès del Vallès > Granollers > Sant Celoni > Gualba > Maçanet de la Selva > Fornells de la Selva > Girona > Vilamalla > Figueres > Portbou,Barcelona · Girona
02272,272,BIF. GIRONA-GIRONA-MERCADERI,2,2,Fornells de la Selva > Girona,Girona
02274,274,PORTBOU-CERBERE,4,1,Portbou,Girona
02276,276,BARNA-SAGRERA-MAÇANET-MASSANES,13,7,L'Hospitalet de Llobregat > Barcelona > Mataró > Arenys de Mar > Calella > Blanes > Maçanet de la Selva,Barcelona · Girona
02278,278,BIF S. ANDREU - BARNA-S.A.COMTAL,4,3,Santa Perpètua de Mogoda > La Llagosta > Barcelona,Barcelona
02282,282,"CAMBIADOR PLASENCIA AG.KM. 308,6-CAMBIADOR PLASENCIA",2,1,Plasencia de Jalón,Zaragoza
02284,284,"CIM AGUJA KM. 337,1-CIM AGUJA KM. 0,7",2,1,Zaragoza,Zaragoza
02286,286,"LA CARTUJA-AG. KM. 23,3-LA CARTUJA-AG. KM. 351,1",2,1,Zaragoza,Zaragoza
02288,288,"MIRAFLORES-AG. KM. 345,6-MIRAFLORES-AG. KM. 0,9",2,1,Zaragoza,Zaragoza
02290,290,"CIM-AGJ KM. 337,1-CAMB. ZARAGOZA-DELICIAS",2,1,Zaragoza,Zaragoza
